"id","created_at","user_id","competition_id","old_handicap","adjustment","new_handicap","reason"
"c9738e13-7c56-4f02-89ef-6832f2400820","2026-04-23T20:41:40.954565+00:00","6005f174-c6d8-4693-b201-e0e154bb8669","053043f7-2f9f-4038-a8b6-95078ed9cbd7",4.2,0.1,4.3,"Competition processing (reanchored)"
"9ff61821-ebd6-4429-847b-e5a1387c765e","2026-04-23T20:41:40.954874+00:00","238fffe0-c89c-4045-a610-077bb06d3ce9","053043f7-2f9f-4038-a8b6-95078ed9cbd7",7,0.1,7.1,"Competition processing (reanchored)"
"6787c1a1-3a3a-410a-9b0c-e1a8e79f6c6b","2026-04-23T20:41:40.955211+00:00","b3bb69ab-b1e9-43a8-ae8c-18a872150411","053043f7-2f9f-4038-a8b6-95078ed9cbd7",8.9,0.1,9,"Competition processing (reanchored)"
"5b8cde58-978b-420d-9f9a-e1be0a580cfb","2026-04-23T20:41:40.95552+00:00","56a49bee-b1d4-420f-8f71-176684ec9ff3","053043f7-2f9f-4038-a8b6-95078ed9cbd7",6.2,0.1,6.3,"Competition processing (reanchored)"
"a7d10786-f36c-4929-90dd-83cead842a30","2026-04-23T20:41:40.955826+00:00","33f57864-26d5-4c1f-bf0b-0638b775a1dd","053043f7-2f9f-4038-a8b6-95078ed9cbd7",3.7,0.1,3.8,"Competition processing (reanchored)"
"cfbedf43-08e1-4cdc-a494-4b6b1c3b819d","2026-04-23T20:41:40.956131+00:00","59f9a833-9d6b-406e-90e0-da128337d73e","053043f7-2f9f-4038-a8b6-95078ed9cbd7",8.6,0.1,8.7,"Competition processing (reanchored)"
"2a96662a-a089-46fb-87ac-f8b244466021","2026-04-23T20:41:40.956434+00:00","40033297-762f-44eb-a7b5-e6cbe3e8b737","053043f7-2f9f-4038-a8b6-95078ed9cbd7",8.1,0.1,8.2,"Competition processing (reanchored)"
"2a94f5e8-c0b8-4879-86a5-e37cd154f1d1","2026-04-23T20:41:40.956739+00:00","b9477000-cf1d-4395-bb5e-59cc972d8430","053043f7-2f9f-4038-a8b6-95078ed9cbd7",5.4,0.1,5.5,"Competition processing (reanchored)"
"ad26ebe2-9340-4442-8be1-4f812530def1","2026-04-23T20:41:40.957077+00:00","4ce8b9dd-3a1b-4879-af15-487d557055a3","053043f7-2f9f-4038-a8b6-95078ed9cbd7",5,0.1,5.1,"Competition processing (reanchored)"
"157f747e-12d9-49ad-a998-16201a6b03f6","2026-04-23T20:41:40.957391+00:00","24c1baa5-56bb-4f70-9c0d-7320bf9aceb2","053043f7-2f9f-4038-a8b6-95078ed9cbd7",4.9,0.1,5,"Competition processing (reanchored)"
"6419aaf0-1666-46ef-a4b1-11f15b53b40f","2026-04-23T20:41:40.957703+00:00","3e4f8715-38d2-4163-aa94-173c73b8f656","053043f7-2f9f-4038-a8b6-95078ed9cbd7",6.1,0.1,6.2,"Competition processing (reanchored)"
"292bc262-7d87-4e69-9757-c5c25b5afd2c","2026-04-23T20:41:40.958015+00:00","e4fc6c68-514a-471b-b33f-ae75afc36837","053043f7-2f9f-4038-a8b6-95078ed9cbd7",11.6,0.1,11.7,"Competition processing (reanchored)"
"c8499f44-a0d0-4f56-9d73-10199d31b69e","2026-04-23T20:41:40.958431+00:00","9b6c5cfd-85a6-4737-abbe-adf13b4b5fa4","84ef2554-93ce-4d2f-9b83-223f1c72de7e",3.8,-0.6,3.2,"Competition processing (reanchored)"
"c1c2575e-e392-4769-8585-5a7caaed66ea","2026-04-23T20:41:40.958745+00:00","cb0d5d7f-2c36-4ca5-bf49-7bbcfef0fbce","84ef2554-93ce-4d2f-9b83-223f1c72de7e",5.5,-0.4,5.1,"Competition processing (reanchored)"
"00dceada-d8f4-458f-94fc-c56dc2e3f6f7","2026-04-23T20:41:40.959072+00:00","7f5a3d7b-412d-4d5f-95a4-fecf12971f60","84ef2554-93ce-4d2f-9b83-223f1c72de7e",8.6,-0.6,8,"Competition processing (reanchored)"
"ff24e3fe-8f70-4f59-a520-0109bdad1346","2026-04-23T20:41:40.960877+00:00","278b6781-3d69-4d80-a6a8-9080bc85d3cb","84ef2554-93ce-4d2f-9b83-223f1c72de7e",3.8,-0.4,3.4,"Competition processing (reanchored)"
"7795bd75-d385-4b8d-aae3-6665b8d4f1a9","2026-04-23T20:41:40.961248+00:00","e4fc6c68-514a-471b-b33f-ae75afc36837","84ef2554-93ce-4d2f-9b83-223f1c72de7e",11.7,-0.4,11.3,"Competition processing (reanchored)"
"c749575a-660e-408a-9743-e0f4e112ec48","2026-04-23T20:41:40.961586+00:00","8b5d4777-6854-4f91-9b00-872e22d3b85a","84ef2554-93ce-4d2f-9b83-223f1c72de7e",3.4,-0.2,3.2,"Competition processing (reanchored)"
"fa891af5-5cab-4268-a265-c505d0a9c8ce","2026-04-23T20:41:40.961897+00:00","6005f174-c6d8-4693-b201-e0e154bb8669","84ef2554-93ce-4d2f-9b83-223f1c72de7e",4.3,-0.2,4.1,"Competition processing (reanchored)"
"c270fb1f-f39c-4692-a0ad-282dfb3c8e5b","2026-04-23T20:41:40.962209+00:00","8532ae37-4d5e-4c2f-a80a-729d51ad2e9e","84ef2554-93ce-4d2f-9b83-223f1c72de7e",4.2,0,4.2,"Competition processing (reanchored)"
"b3e201de-4857-4027-aa72-db93cc620266","2026-04-23T20:41:40.962523+00:00","38f186b2-b4fd-4ee3-8ee2-9a505ad593ae","84ef2554-93ce-4d2f-9b83-223f1c72de7e",8.8,0,8.8,"Competition processing (reanchored)"
"7e00d14d-afa0-4328-a18d-8a4cce418a58","2026-04-23T20:41:40.962836+00:00","d4705a1b-ddce-47da-b0a6-2a0428db5ff8","84ef2554-93ce-4d2f-9b83-223f1c72de7e",-0.7,0,-0.7,"Competition processing (reanchored)"
"59de2614-36f8-4aa7-93ae-a9c5b65181bf","2026-04-23T20:41:40.963263+00:00","1187b5ff-a2f3-4ac2-bd4a-3f3e3f058034","84ef2554-93ce-4d2f-9b83-223f1c72de7e",9.9,0,9.9,"Competition processing (reanchored)"
"f2c5ad0e-ba9b-423b-b809-488c1739d35e","2026-04-23T20:41:40.963577+00:00","95c236e4-720c-4579-9ee6-2c4c71da5ccf","84ef2554-93ce-4d2f-9b83-223f1c72de7e",3.3,0,3.3,"Competition processing (reanchored)"
"f4b72413-d3c3-4a15-a64c-5694b401a876","2026-04-23T20:41:40.963886+00:00","b9477000-cf1d-4395-bb5e-59cc972d8430","84ef2554-93ce-4d2f-9b83-223f1c72de7e",5.5,0,5.5,"Competition processing (reanchored)"
"8d03337c-aa12-429d-b856-b8cf5bd28712","2026-04-23T20:41:40.964208+00:00","4ce8b9dd-3a1b-4879-af15-487d557055a3","84ef2554-93ce-4d2f-9b83-223f1c72de7e",5.1,0,5.1,"Competition processing (reanchored)"
"abb23830-c8ce-485b-8211-570ab17c0ab6","2026-04-23T20:41:40.964532+00:00","86d35e72-52ca-46cd-850d-8702f99f5e7c","84ef2554-93ce-4d2f-9b83-223f1c72de7e",6.8,0.1,6.9,"Competition processing (reanchored)"
"cfb4993f-cc61-434f-9f86-311173dfe6fd","2026-04-23T20:41:40.964842+00:00","33f57864-26d5-4c1f-bf0b-0638b775a1dd","84ef2554-93ce-4d2f-9b83-223f1c72de7e",3.8,0.1,3.9,"Competition processing (reanchored)"
"3b040b04-794d-4aab-854e-8f76967e3478","2026-04-23T20:41:40.965196+00:00","102fd780-cb0d-4c90-84c3-7776b67d5df5","84ef2554-93ce-4d2f-9b83-223f1c72de7e",7.3,0,7.3,"Competition processing (reanchored)"
"f3ec0ebb-e5b1-4dae-a12e-b54ce8aa4c41","2026-04-23T20:41:40.965518+00:00","0b508406-582c-4b49-bc2d-c01f6bff8b7a","84ef2554-93ce-4d2f-9b83-223f1c72de7e",4.6,0.1,4.7,"Competition processing (reanchored)"
"0430f5b1-5d2d-4f6c-b1fd-ae2bc22010ec","2026-04-23T20:41:40.965837+00:00","7e323e7b-88c6-4775-8e13-4824573c1c43","84ef2554-93ce-4d2f-9b83-223f1c72de7e",3.5,0.1,3.6,"Competition processing (reanchored)"
